#timestamp [ns], position.x [m], position.y [m], position.z [m], quaternion.w [], quaternion.x [], qquaternion.y [], quaternion.z []
0000000002499999999,0.0670939982,-1.92129695,1.358675,0.557962179,0.484040856,-0.464709848,-0.488289833
0000000002549999999,0.0969249979,-1.92228198,1.35548496,0.557688355,0.4843916,-0.462934554,-0.489940614
0000000002599999999,0.127559006,-1.922719,1.35124695,0.558144152,0.48433283,-0.462732852,-0.489667833
0000000002649999999,0.158986002,-1.92234504,1.34721506,0.557734668,0.483747363,-0.463622332,-0.48987332
0000000002699999999,0.191001996,-1.92093205,1.34431696,0.557056904,0.481670082,-0.466636091,-0.489829093
0000000002749999999,0.223915994,-1.91861296,1.34373605,0.556066036,0.479698956,-0.470054954,-0.48961997
0000000002799999999,0.257046014,-1.91544902,1.34645104,0.555423617,0.476976454,-0.473172486,-0.49000445
0000000002849999999,0.289200991,-1.91187096,1.35034394,0.554944515,0.474217385,-0.476195395,-0.490299404
0000000002899999999,0.319676995,-1.90849698,1.35263598,0.556082368,0.470208704,-0.47947669,-0.489670694
0000000002949999999,0.351027012,-1.90628695,1.35436404,0.552607834,0.470468193,-0.479922175,-0.492909193
0000000002999999999,0.382046998,-1.905388,1.35661602,0.544851065,0.473856926,-0.479606956,-0.498571962
0000000003049999999,0.410679013,-1.90508199,1.358863,0.537888348,0.475215554,-0.481508583,-0.502988636
0000000003099999999,0.437005013,-1.90521896,1.359936,0.535709858,0.475454122,-0.483677119,-0.503006101
0000000003149999999,0.463705987,-1.90619004,1.35982502,0.533980846,0.477406114,-0.485030144,-0.501691163
0000000003199999999,0.491589993,-1.90762401,1.35881197,0.531726301,0.480398774,-0.484745771,-0.501502752
0000000003249999999,0.520071983,-1.90920806,1.35682797,0.530073106,0.482278943,-0.484170943,-0.502000928
0000000003299999999,0.549260974,-1.91123497,1.35381699,0.5286901,0.484505892,-0.482904911,-0.502536893
0000000003349999999,0.579066992,-1.91426301,1.35013497,0.528647363,0.485248625,-0.483266592,-0.501518607
0000000003399999999,0.609982014,-1.91782999,1.34668696,0.529311895,0.484876037,-0.48338601,-0.501064062
0000000003449999999,0.64190203,-1.92192304,1.34410703,0.531461716,0.483696371,-0.482925385,-0.500367284
0000000003499999999,0.674852014,-1.92677701,1.34277296,0.534496486,0.483839512,-0.481758475,-0.498119503
0000000003549999999,0.708567977,-1.93239105,1.34377205,0.537640452,0.485617578,-0.479976565,-0.494711518
0000000003599999999,0.74217999,-1.93829799,1.34707701,0.539532185,0.489575833,-0.477443844,-0.491189808
0000000003649999999,0.773492992,-1.94313896,1.34981,0.544363856,0.491344094,-0.4766801,-0.48479411
0000000003699999999,0.804189026,-1.94638598,1.35186195,0.551131308,0.494254827,-0.473110884,-0.477628887
0000000003749999999,0.835566998,-1.94854498,1.353791,0.5552876,0.50146234,-0.466735363,-0.471540391
0000000003799999999,0.867036998,-1.94875205,1.35643196,0.559189558,0.510688365,-0.457306355,-0.466236353
0000000003849999999,0.896866024,-1.94671905,1.35802698,0.565811634,0.515948355,-0.447902471,-0.461558461
0000000003899999999,0.926272988,-1.94335103,1.35778606,0.572726548,0.517798424,-0.44054538,-0.458028376
0000000003949999999,0.95678997,-1.93919504,1.35622799,0.577173352,0.519513607,-0.433968484,-0.456781536
0000000003999999999,0.988120973,-1.934425,1.35342705,0.580329478,0.521253586,-0.429090679,-0.455403656
0000000004049999999,1.01984799,-1.92858005,1.34936094,0.584730446,0.522164464,-0.424732417,-0.45281142
0000000004099999999,1.05212104,-1.921435,1.34474504,0.590002537,0.521327555,-0.421907604,-0.449563652
0000000004149999999,1.08569598,-1.91314006,1.34105098,0.59684217,0.516543806,-0.420045882,-0.447797865
0000000004199999999,1.11999094,-1.90387201,1.33899701,0.600784838,0.511860132,-0.42149514,-0.446541131
0000000004249999999,1.15504599,-1.89445198,1.33876097,0.60405916,0.506748736,-0.424890608,-0.44473362
0000000004299999999,1.19166696,-1.88497496,1.341326,0.605510116,0.503700912,-0.427072942,-0.444129944
0000000004349999999,1.22910905,-1.87605906,1.34514999,0.602686763,0.504560351,-0.427075475,-0.4469814
0000000004399999999,1.26464999,-1.86845899,1.34800804,0.600552022,0.503418028,-0.430640996,-0.447723001
0000000004449999999,1.30005896,-1.86175704,1.350631,0.596910894,0.504959106,-0.432890058,-0.448687047
0000000004499999999,1.33432198,-1.85574496,1.35388601,0.59215486,0.509848118,-0.432073087,-0.450245082
0000000004549999999,1.36648095,-1.84992504,1.35708499,0.587137461,0.518175602,-0.43119067,-0.448148638
0000000004599999999,1.39728999,-1.84420896,1.358235,0.590311766,0.520020306,-0.429860443,-0.443090409
0000000004649999999,1.42814898,-1.83806801,1.35787797,0.591754079,0.525866926,-0.426998943,-0.436992973
0000000004699999999,1.45997596,-1.83187306,1.35623705,0.591691494,0.533033431,-0.422592312,-0.432658315
0000000004749999999,1.4928,-1.82523,1.35322404,0.593835533,0.537294388,-0.417070329,-0.429799348
0000000004799999999,1.52574396,-1.81866205,1.34948695,0.598283708,0.539281309,-0.412882209,-0.425160229
0000000004849999999,1.559636,-1.81209397,1.34612298,0.604461253,0.541579723,-0.40774253,-0.418408543
0000000004899999999,1.59443903,-1.80578494,1.34361005,0.611393154,0.543686748,-0.402425528,-0.410680562
0000000004949999999,1.63061798,-1.79957199,1.34292901,0.618444681,0.547236383,-0.39539057,-0.402148575
0000000004999999999,1.66790104,-1.793015,1.34538805,0.62496376,0.552834272,-0.38479048,-0.394625485
0000000005049999999,1.70539796,-1.78515804,1.34916794,0.632098615,0.562561452,-0.368347615,-0.385090649
0000000005099999999,1.74115396,-1.77631998,1.35089898,0.642101705,0.572718263,-0.351082146,-0.369379193
0000000005149999999,1.77626395,-1.76577997,1.35217798,0.651426017,0.584231019,-0.332440019,-0.35185501
0000000005199999999,1.81071603,-1.75308895,1.35456502,0.657409489,0.598137498,-0.312483281,-0.335260302
0000000005249999999,1.84190702,-1.73779595,1.356897,0.664849102,0.608731866,-0.290763974,-0.320744932
0000000005299999999,1.86989498,-1.720981,1.35765302,0.673224628,0.613979399,-0.272661746,-0.308953702
0000000005349999999,1.89689302,-1.70283496,1.35647297,0.680086434,0.617648602,-0.258135825,-0.298927814
0000000005399999999,1.923527,-1.68362403,1.35387802,0.684855163,0.621731877,-0.246443942,-0.289288908
0000000005449999999,1.94909,-1.66293299,1.350155,0.689022303,0.625121653,-0.236078247,-0.280605257
0000000005499999999,1.97340906,-1.63993299,1.34594595,0.696019232,0.624894798,-0.227845937,-0.270461917
0000000005549999999,1.99740303,-1.61470902,1.34163201,0.703614533,0.622525513,-0.220707804,-0.262060791
0000000005599999999,2.02190804,-1.58818603,1.33802104,0.708394706,0.620974302,-0.217431068,-0.255523115
0000000005649999999,2.04623008,-1.56039906,1.33614397,0.712012768,0.619083226,-0.217395067,-0.25002712
0000000005699999999,2.0703299,-1.53075397,1.33783603,0.715308964,0.616845012,-0.214923024,-0.248281017
0000000005749999999,2.09341788,-1.50180805,1.34152102,0.718200147,0.615571856,-0.211172953,-0.246303961
0000000005799999999,2.11601591,-1.47481298,1.34478605,0.720714808,0.616154134,-0.20833303,-0.239837065
0000000005849999999,2.13993692,-1.44811702,1.34767795,0.718684852,0.622946143,-0.200170025,-0.235292032
0000000005899999999,2.16323709,-1.42181802,1.35086,0.715766907,0.631722033,-0.190030023,-0.229115024
